"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108656","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67776","158704","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68580","108676","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68828","108520","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","158824","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108796","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67420","108896","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","159096","150","154"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67564","108684","100","105"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","108656","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","158824","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68564","108672","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68840","108520","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","158944","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67420","108792","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108768","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","158972","150","152"
