"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51536","141320","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51548","108136","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","108008","110","111"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","141544","150","150"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52448","108008","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51672","108016","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","158184","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51548","91360","100","100"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53344","108256","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","141448","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52584","91264","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","108024","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52580","141536","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51032","91752","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53592","108128","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","141448","150","152"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51412","108136","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51552","108144","110","111"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51432","141536","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52668","91112","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53720","108136","110","115"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52440","141448","150","151"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","108016","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51412","108144","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51412","141672","150","151"
